fecha,mes,dia_semana,hora,tipo,rango_londres,ratio_mecha_sweep,distancia_sl,resultado
2024-07-09 10:00,7,1,10,0,8.06,0.241,10.853,1
2024-07-10 10:15,7,2,10,0,7.563,0.468,5.833,1
2024-07-11 09:40,7,3,9,0,5.8,0.602,13.443,0
2024-07-12 09:55,7,4,9,1,9.953,0.058,5.76,1
2024-07-16 09:55,7,1,9,0,10.9,0.369,5.45,0
2024-07-17 10:05,7,2,10,0,14.72,0.292,11.043,1
2024-07-18 09:55,7,3,9,1,13.39,0.374,7.61,1
2024-07-24 09:10,7,2,9,0,8.693,0.904,3.65,1
2024-07-25 10:25,7,3,10,1,16.91,0.43,8.25,0
2024-07-26 10:50,7,4,10,0,8.147,0.733,9.07,0
2024-07-29 09:45,7,0,9,0,9.93,0.646,6.23,1
2024-07-30 10:00,7,1,10,0,6.05,0.568,8.503,1
2024-07-31 10:20,7,2,10,0,7.803,0.539,6.413,0
2024-09-05 09:45,9,3,9,0,15.383,0.401,5.41,0
2024-09-06 10:40,9,4,10,1,5.69,0.571,13.24,0
2024-09-09 09:50,9,0,9,0,10.31,0.32,5.704,1
2024-09-10 09:35,9,1,9,0,9.531,0.816,5.36,1
2024-09-11 09:15,9,2,9,1,8.04,0.447,6.99,0
2024-09-12 10:10,9,3,10,0,8.0,0.239,8.519,0
2024-09-17 13:25,9,1,13,1,15.949,0.688,4.531,1
2024-09-18 14:00,9,2,14,1,12.75,0.429,16.359,1
2024-09-19 10:20,9,3,10,1,19.86,0.325,8.799,1
2024-09-23 09:30,9,0,9,0,12.003,0.768,3.933,0
2024-09-24 09:45,9,1,9,0,13.57,0.426,4.353,0
2024-09-25 10:40,9,2,10,0,8.383,0.362,5.98,1
2024-09-26 10:10,9,3,10,1,26.067,0.239,11.673,0
2024-09-27 09:25,9,4,9,0,10.84,0.857,4.853,1
2024-09-30 10:35,9,0,10,1,26.19,0.192,5.861,0
2024-10-01 10:15,10,1,10,0,10.683,0.189,13.09,0
2024-10-02 10:20,10,2,10,0,7.87,0.68,7.309,1
2024-10-03 13:25,10,3,13,0,15.16,0.651,3.353,0
2024-10-04 09:25,10,4,9,1,6.28,0.121,9.8,1
2024-10-07 10:35,10,0,10,1,17.54,0.673,4.22,0
2024-10-09 10:45,10,2,10,1,13.284,0.698,4.233,0
2024-10-16 09:45,10,2,9,0,9.648,0.768,5.4,1
2024-10-21 09:25,10,0,9,0,12.733,0.528,4.34,0
2024-10-22 09:55,10,1,9,0,9.8,0.278,6.383,0
2024-10-24 09:40,10,3,9,0,7.41,0.51,4.92,1
2024-10-28 10:35,10,0,10,0,12.99,0.063,5.35,0
2024-10-29 10:15,10,1,10,0,10.24,0.959,7.09,0
2024-10-30 14:00,10,2,14,0,13.263,0.322,3.327,1
2024-10-31 09:15,10,3,9,1,13.093,0.475,8.315,0
2024-11-01 10:15,11,4,10,1,15.239,0.047,9.03,0
2024-11-04 10:30,11,0,10,0,13.34,0.564,9.47,1
2024-11-06 10:05,11,2,10,1,48.163,0.165,12.03,0
2024-11-08 09:25,11,4,9,0,12.95,0.36,7.66,1
2024-11-12 10:00,11,1,10,0,17.557,0.508,10.69,1
2024-11-13 09:30,11,2,9,0,11.691,0.527,5.677,1
2024-11-14 09:50,11,3,9,0,23.0,0.214,8.26,0
2024-11-15 09:35,11,4,9,0,12.443,0.425,7.15,0
2024-11-20 10:35,11,2,10,0,15.023,0.201,4.983,0
2024-11-21 13:35,11,3,13,0,13.07,0.278,2.43,0
2024-11-22 09:40,11,4,9,1,16.66,0.929,8.483,1
2024-11-29 10:55,11,4,10,1,11.397,0.9,8.45,0
2024-12-02 09:45,12,0,9,0,19.747,0.429,7.383,1
2024-12-03 09:50,12,1,9,0,10.34,0.877,8.29,1
2024-12-04 09:50,12,2,9,0,15.27,0.665,4.36,0
2024-12-05 10:50,12,3,10,1,12.663,0.252,8.27,0
2024-12-06 09:45,12,4,9,1,13.24,0.11,9.081,1
2024-12-09 10:25,12,0,10,0,14.43,0.605,4.37,0
2024-12-10 10:30,12,1,10,0,18.291,0.592,6.086,0
2024-12-11 09:30,12,2,9,0,13.861,0.299,4.6,0
2024-12-12 09:45,12,3,9,1,14.427,0.126,6.76,0
2024-12-13 10:35,12,4,10,1,21.81,0.507,5.56,0
2024-12-17 09:25,12,1,9,1,17.571,0.399,8.303,1
2024-12-18 10:55,12,2,10,1,7.59,0.843,4.275,0
2024-12-20 09:40,12,4,9,0,7.694,0.205,4.0,0
2024-12-26 09:45,12,3,9,1,6.149,0.292,4.739,1
2024-12-27 10:45,12,4,10,1,10.136,0.313,8.12,1
2023-01-04 10:25,1,2,10,1,12.34,0.53,7.61,0
2023-01-05 09:30,1,3,9,1,7.323,0.704,3.813,0
2023-01-06 09:40,1,4,9,0,7.28,0.481,8.26,0
2023-01-09 09:30,1,0,9,0,6.4,0.913,4.42,0
2023-01-10 10:30,1,1,10,0,6.947,0.524,4.5,0
2023-01-12 09:40,1,3,9,0,8.902,0.39,13.8,0
2023-01-17 09:35,1,1,9,0,9.61,0.973,4.8,1
2023-01-18 09:40,1,2,9,0,11.81,0.365,5.353,1
2023-01-19 10:45,1,3,10,0,10.09,0.235,4.347,0
2023-01-23 09:50,1,0,9,1,10.335,0.51,7.1,0
2023-01-24 10:10,1,1,10,1,8.093,0.416,11.12,1
2023-01-25 10:20,1,2,10,0,9.75,0.417,8.413,0
2023-01-27 10:05,1,4,10,1,9.39,0.61,5.43,0
2023-02-01 09:40,2,2,9,0,8.378,0.358,3.711,1
2023-02-02 10:15,2,3,10,1,7.99,0.628,8.378,0
2023-02-03 09:30,2,4,9,1,7.79,0.992,7.63,0
2023-02-08 10:15,2,2,10,1,8.43,0.284,4.767,1
2023-02-09 09:30,2,3,9,0,6.25,0.364,5.34,1
2023-02-13 10:25,2,0,10,1,10.398,0.35,4.62,0
2023-02-15 09:50,2,2,9,0,5.9,0.977,3.9,1
2023-02-16 10:10,2,3,10,1,10.02,0.49,4.24,1
2023-02-17 10:50,2,4,10,0,9.96,0.14,6.67,0
2023-02-28 10:45,2,1,10,0,8.371,0.66,2.897,0
2023-03-08 10:35,3,2,10,0,3.573,0.735,3.42,1
2023-03-09 10:55,3,3,10,0,5.45,0.906,7.17,0
2023-03-10 10:55,3,4,10,0,6.467,0.227,4.573,0
2023-03-13 10:35,3,0,10,0,24.19,0.876,6.531,0
2023-03-16 09:45,3,3,9,0,11.33,0.243,4.3,1
2023-03-17 10:50,3,4,10,0,20.71,0.458,3.873,0
